MB,Datum osnivanja,Naziv preduzeća,Mesto,Poštanski broj,Adresa,Telefon,Pravni oblik,Šifra delatnosti,Naziv delatnosti,APR Status,NBS Status,Bonitetna ocena,Veličina,Promet (RSD),Neto dobit (RSD),Broj zaposlenih,Ebit (RSD),Ebitda (RSD),Email,Zastupnik,PDV Obveznik
21091162,3/18/2015,CAMOZZI SRB DOO,Mišar,15216,MARŠALA TITA 31A,693826925,Društvo sa ograničenom odgovornošću,2812,Proizvodnja hidrauličnih pogonskih uređaja,Aktivan,Aktivan,C2,Malo,3173819917,57919897,24,91879000,95805000,a.milovan@camozzi.rs,Aleks Milovan,1 mesečni
21128457,8/17/2015,SUNWAY SERVICES DOO,Beograd (Novi Beograd),11197,JURIJA GAGARINA 151,63333403,Društvo sa ograničenom odgovornošću,7022,Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem,Aktivan,Aktivan,C3,Malo,2921813972,30641977,58,36615000,38350000,vukajlovic.d@sunway.rs,Dijana Vukajlović,1 mesečni
21154008,11/30/2015,GRA-VET INVEST DOO,Novi Sad,21102,ĆIRPANOVA 25 1,,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,C1,Malo,1702014898,123481980,3,143706000,148026000,gravetinvest@gmail.com,Zoran Vukčević,1 mesečni
21122076,7/17/2015,AGRO DOM TIM D.O.O. CRVENKA,Crvenka,25220,IVE LOLE RIBARA 170,255733188,Društvo sa ograničenom odgovornošću,4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje",Aktivan,Aktivan,A2,Malo,1648671923,13438886,2,19652000,19657000,agrodomtim@gmail.com,Olivera Drobnjak,1 mesečni
21086410,3/2/2015,CEVA LOGISTICS DOO,Beograd (Novi Beograd),11070,MILUTINA MILANKOVIĆA 3V SPRAT: 4,,Društvo sa ograničenom odgovornošću,5229,Ostale prateće delatnosti u saobraćaju,Aktivan,Aktivan,B2,Malo,1362164885,109664974,20,142021000,144035000,office.belgrade@cevalogistics.com,Vidan Vučković,1 mesečni
21090999,3/17/2015,OZMO-DISTRIBUTION-LOGISTIC D.O.O,Beograd (Voždovac),11010,ADMIRALA VUKOVIĆA 66,117129277,Društvo sa ograničenom odgovornošću,1107,"Proizvodnja osvežavajućih pića, mineralne vode i ostale flaširane vode",Aktivan,Aktivan,C3,Malo,1245403988,19880978,25,26596000,34623000,zaklina.zdravkovic@planinskavoda.rs,Zoran Gizdović,1 mesečni
21156507,12/9/2015,SELVANS DOO,Valjevo,14000,BIRČANINOVA 128,,Društvo sa ograničenom odgovornošću,4613,Posredovanje u prodaji drvne građe i građevinskog materijala,Aktivan,Aktivan,C2,Malo,1025441885,15664951,4,21839000,24462000,selvans@selvans.rs,Jovana Đukić,1 mesečni
21102652,4/30/2015,STROJ ENGINEERING DOO,Beograd (Novi Beograd),11077,RAJKOVA ULICA 46,,Društvo sa ograničenom odgovornošću,7112,Inženjerske delatnosti i tehničko savetovanje,Aktivan,Aktivan,C2,Malo,1014982961,5990974,194,33273000,41015000,office@strojeng.rs,Jasna Minić,1 mesečni
21137251,9/21/2015,SKUBA SRB D.O.O,Beograd (Zemun),11273,AUTOPUT ZA NOVI SAD 223 A,,Društvo sa ograničenom odgovornošću,4531,Trgovina na veliko delovima i opremom za motorna vozila,Aktivan,Aktivan,B3,Malo,1008650894,16874887,37,12465000,14976000,finansije@skuba.rs,Nenad Pandurov,1 mesečni
21154245,11/30/2015,FTC DOO,Beograd (Palilula),11120,CVIJIĆEVA 125 BROJ STANA: 12,117486019,Društvo sa ograničenom odgovornošću,4631,Trgovina na veliko voćem i povrćem,Aktivan,Aktivan,C2,Malo,992102921,10369989,20,15672000,16538000,office@ftc.rs,Jelena Timotić,1 mesečni
21155233,12/4/2015,SJM-AGROPROM D.O.O. VALJEVO,Valjevo,14000,UZUN MIRKOVA 12,14244179,Društvo sa ograničenom odgovornošću,4623,Trgovina na veliko životinjama,Aktivan,Aktivan,B1,Malo,921208966,17306907,12,24806000,25050000,sjmagroprom@gmail.com,Milan Pujić,1 mesečni
21151408,11/18/2015,POLICART SRB D.O.O. VELIKO CRNIĆE,Veliko Crniće,12311,MARŠALA TITA 95A,,Društvo sa ograničenom odgovornošću,2221,"Proizvodnja ploča, listova, cevi i profila od plastike",Aktivan,Aktivan,B3,Malo,918663953,71309921,35,94551000,110502000,info@policartsrb.com,Radica Nikolić,1 mesečni
21153508,11/26/2015,DS-24 ASIST DOO,Beograd (Savski Venac),11102,"HERCEGOVAČKA 13A SPRAT: 4, BROJ STANA: 404",62602845,Društvo sa ograničenom odgovornošću,5229,Ostale prateće delatnosti u saobraćaju,Aktivan,Aktivan,D3,Malo,910190889,28750910,11,-7193000,-2987000,gradina@ds24asist.com,Dušica Matić,1 mesečni
21116475,6/24/2015,METALING STEEL DOO BELA CRKVA,Bela Crkva,26340,BEOGRADSKA 50,63572307,Društvo sa ograničenom odgovornošću,2511,Proizvodnja metalnih konstrukcija i delova konstrukcija,Aktivan,Aktivan,C3,Malo,880205905,1776939,17,1440000,5535000,racunovodstvo@metalingdoo.rs,Aleksa Vojnović,1 mesečni
21131679,8/31/2015,BOMARK PACKAGING,Ovča,11212,OVČANSKI PUT 1,114043970,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C3,Malo,868082996,1946958,19,8994000,13705000,drazen.cvetkovic@bomark.rs,Dražen Cvetković,1 mesečni
